,URL,Canonical URL,Indexable Status,Canonical Status,Total Incoming Links,Incoming Followed Links,Incoming Followed Unique Links
33,https://www.mdmountainside.com/family-fun?from=31,https://www.mdmountainside.com/family-fun,Canonicalized,To Internal URL,2.0,2.0,1.0
34,https://www.mdmountainside.com/family-fun?from=41,https://www.mdmountainside.com/family-fun,Canonicalized,To Internal URL,2.0,2.0,1.0
35,https://www.mdmountainside.com/grocery-and-convenience-stores?from=1,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,To Internal URL,,,
36,https://www.mdmountainside.com/grocery-and-convenience-stores?from=11,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,To Internal URL,4.0,4.0,1.0
37,https://www.mdmountainside.com/grocery-and-convenience-stores?from=21,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,To Internal URL,2.0,2.0,1.0
38,https://www.mdmountainside.com/grocery-and-convenience-stores?from=31,https://www.mdmountainside.com/grocery-and-convenience-stores,Canonicalized,To Internal URL,2.0,2.0,1.0
39,https://www.mdmountainside.com/history-and-heritage?from=1,https://www.mdmountainside.com/history-and-heritage,Canonicalized,To Internal URL,,,
40,https://www.mdmountainside.com/history-and-heritage?from=11,https://www.mdmountainside.com/history-and-heritage,Canonicalized,To Internal URL,4.0,4.0,1.0
41,https://www.mdmountainside.com/history-and-heritage?from=21,https://www.mdmountainside.com/history-and-heritage,Canonicalized,To Internal URL,2.0,2.0,1.0
42,https://www.mdmountainside.com/history-and-heritage?from=31,https://www.mdmountainside.com/history-and-heritage,Canonicalized,To Internal URL,2.0,2.0,1.0
43,https://www.mdmountainside.com/hospitals-and-health-care?from=1,https://www.mdmountainside.com/hospitals-and-health-care,Canonicalized,To Internal URL,,,
44,https://www.mdmountainside.com/hospitals-and-health-care?from=21,https://www.mdmountainside.com/hospitals-and-health-care,Canonicalized,To Internal URL,2.0,2.0,1.0
45,https://www.mdmountainside.com/restaurants?from=1,https://www.mdmountainside.com/restaurants,Canonicalized,To Internal URL,,,
46,https://www.mdmountainside.com/restaurants?from=11,https://www.mdmountainside.com/restaurants,Canonicalized,To Internal URL,4.0,4.0,1.0
47,https://www.mdmountainside.com/restaurants?from=21,https://www.mdmountainside.com/restaurants,Canonicalized,To Internal URL,2.0,2.0,1.0
48,https://www.mdmountainside.com/restaurants?from=31,https://www.mdmountainside.com/restaurants,Canonicalized,To Internal URL,2.0,2.0,1.0
49,https://www.mdmountainside.com/restaurants?from=41,https://www.mdmountainside.com/restaurants,Canonicalized,To Internal URL,2.0,2.0,1.0
50,https://www.mdmountainside.com/results?from=1,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
51,https://www.mdmountainside.com/results?from=101,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
52,https://www.mdmountainside.com/results?from=11,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,4.0,4.0,1.0
53,https://www.mdmountainside.com/results?from=111,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
54,https://www.mdmountainside.com/results?from=121,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
55,https://www.mdmountainside.com/results?from=131,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
56,https://www.mdmountainside.com/results?from=141,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
57,https://www.mdmountainside.com/results?from=151,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
58,https://www.mdmountainside.com/results?from=161,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
59,https://www.mdmountainside.com/results?from=171,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
60,https://www.mdmountainside.com/results?from=181,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
61,https://www.mdmountainside.com/results?from=191,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
62,https://www.mdmountainside.com/results?from=201,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
63,https://www.mdmountainside.com/results?from=21,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
64,https://www.mdmountainside.com/results?from=211,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
65,https://www.mdmountainside.com/results?from=221,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
66,https://www.mdmountainside.com/results?from=231,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
67,https://www.mdmountainside.com/results?from=241,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
68,https://www.mdmountainside.com/results?from=251,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
69,https://www.mdmountainside.com/results?from=261,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
70,https://www.mdmountainside.com/results?from=271,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
71,https://www.mdmountainside.com/results?from=281,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
72,https://www.mdmountainside.com/results?from=291,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
73,https://www.mdmountainside.com/results?from=301,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
74,https://www.mdmountainside.com/results?from=31,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
75,https://www.mdmountainside.com/results?from=311,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
76,https://www.mdmountainside.com/results?from=321,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
77,https://www.mdmountainside.com/results?from=331,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
78,https://www.mdmountainside.com/results?from=341,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
79,https://www.mdmountainside.com/results?from=351,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
80,https://www.mdmountainside.com/results?from=361,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
81,https://www.mdmountainside.com/results?from=371,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
82,https://www.mdmountainside.com/results?from=381,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
83,https://www.mdmountainside.com/results?from=391,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
84,https://www.mdmountainside.com/results?from=401,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
85,https://www.mdmountainside.com/results?from=41,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,2.0,2.0,1.0
86,https://www.mdmountainside.com/results?from=411,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
87,https://www.mdmountainside.com/results?from=421,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
88,https://www.mdmountainside.com/results?from=431,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
89,https://www.mdmountainside.com/results?from=441,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
90,https://www.mdmountainside.com/results?from=451,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
91,https://www.mdmountainside.com/results?from=461,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
92,https://www.mdmountainside.com/results?from=471,https://www.mdmountainside.com/results,Canonicalized Noindex,To Internal URL,,,
