,URL,Total Page Size (kB),Total CSS Size (kB),Total JS Size (kB),Total Image Size (kB)
138,https://www.mdmountainside.com/results?from=381,1782.43,0.0,0.0,0.0
139,https://www.mdmountainside.com/results?from=41,1663.73,0.0,0.0,0.0
140,https://www.mdmountainside.com/results?from=421,1635.3,0.0,0.0,0.0
141,https://www.mdmountainside.com/results?from=431,1622.92,0.0,0.0,0.0
142,https://www.mdmountainside.com/results?from=461,1727.16,0.0,0.0,0.0
143,https://www.mdmountainside.com/results?from=471,1667.84,0.0,0.0,0.0
144,https://www.mdmountainside.com/results?from=481,1669.67,0.0,0.0,0.0
145,https://www.mdmountainside.com/results?from=501,1851.27,0.0,0.0,0.0
146,https://www.mdmountainside.com/results?from=51,1738.87,0.0,0.0,0.0
147,https://www.mdmountainside.com/results?from=511,1929.35,0.0,0.0,0.0
148,https://www.mdmountainside.com/results?from=521,1657.1,0.0,0.0,0.0
149,https://www.mdmountainside.com/results?from=531,1604.11,0.0,0.0,0.0
150,https://www.mdmountainside.com/results?from=571,1794.94,0.0,0.0,0.0
151,https://www.mdmountainside.com/results?from=581,1669.05,0.0,0.0,0.0
152,https://www.mdmountainside.com/results?from=591,1690.76,0.0,0.0,0.0
153,https://www.mdmountainside.com/results?from=61,1623.88,0.0,0.0,0.0
154,https://www.mdmountainside.com/results?from=611,1954.2,0.0,0.0,0.0
155,https://www.mdmountainside.com/results?from=621,1716.04,0.0,0.0,0.0
156,https://www.mdmountainside.com/results?from=631,2010.21,0.0,0.0,0.0
157,https://www.mdmountainside.com/results?from=641,2034.99,0.0,0.0,0.0
158,https://www.mdmountainside.com/results?from=651,1838.31,0.0,0.0,0.0
159,https://www.mdmountainside.com/results?from=661,1834.97,0.0,0.0,0.0
160,https://www.mdmountainside.com/results?from=671,2286.97,0.0,0.0,0.0
161,https://www.mdmountainside.com/results?from=681,1816.84,0.0,0.0,0.0
162,https://www.mdmountainside.com/results?from=691,1783.68,0.0,0.0,0.0
163,https://www.mdmountainside.com/results?from=91,1648.16,0.0,0.0,0.0
164,https://www.mdmountainside.com/ristorante-ottaviani,2364.55,602.18,768.73,1788.48
165,https://www.mdmountainside.com/river-access,2117.68,598.65,261.03,1854.26
166,https://www.mdmountainside.com/rocky-gap-casino-resort,3326.45,602.18,768.73,2744.41
167,https://www.mdmountainside.com/rocky-gap-casino-resort--lakeside-dining-room,1617.78,602.18,768.73,735.85
